,Red,Green,Blue,Yellow,Skip,Reverse,Draw2,Draw4,Cc
"('Red', 'Number', 0, 0, 0, 0, 1, 1, 1, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 1, 1, 1, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 1, 1, 1, 1, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 0, 1, 1, 1, 1, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 1)",0.6070113324793754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 2)",0.4710923808342568,0.0,0.0,0.0,0.0,0.0,0.34727853683589727,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 3)",0.44344428417771664,0.0,0.0,0.0,0.0,0.0,0.19698213020616429,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 4)",0.31735489460096244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 5)",0.25618544041141394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 6)",0.2945717139854227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 0, 7)",0.19572973273316452,0.0,0.0,0.0,0.0,0.0,0.021895954693840453,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 3)",0.41509844354277087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 4)",0.16770403468628237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 5)",0.27539513471047655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 6)",0.14797610512645235,0.0,0.0,0.0,0.0,0.0,0.05596174707056215,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 0, 1, 7)",0.09394960559471827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Red', 'Number', 0, 0, 0, 1, 0, 0, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
