,Winner,Turns,Win_Rate
114,Bot,57.0,0.4260869565217391
115,Bot,78.0,0.43103448275862066
116,Bot,154.0,0.4358974358974359
117,AI,60.0,0.559322033898305
118,AI,40.0,0.5630252100840336
119,AI,154.0,0.5666666666666667
120,Bot,53.0,0.4297520661157025
121,AI,70.0,0.5655737704918032
122,AI,52.0,0.5691056910569106
123,,,
124,AI,67.0,0.568
125,AI,39.0,0.5714285714285714
126,AI,102.0,0.5748031496062992
127,AI,14.0,0.578125
128,Bot,149.0,0.4108527131782946
129,AI,30.0,0.5769230769230769
130,Bot,42.0,0.4122137404580153
131,Bot,85.0,0.4166666666666667
132,AI,23.0,0.5714285714285714
133,Bot,101.0,0.417910447761194
134,Bot,55.0,0.4222222222222222
135,Bot,48.0,0.4264705882352941
136,AI,62.0,0.5620437956204379
137,Bot,66.0,0.427536231884058
138,AI,86.0,0.5611510791366906
139,Bot,28.0,0.42857142857142855
140,Bot,49.0,0.4326241134751773
141,Bot,36.0,0.43661971830985913
142,AI,17.0,0.5524475524475524
143,Bot,44.0,0.4375
144,Bot,25.0,0.4413793103448276
145,AI,39.0,0.547945205479452
146,Bot,32.0,0.4421768707482993
147,AI,29.0,0.5472972972972973
148,Bot,117.0,0.4429530201342282
149,AI,15.0,0.5466666666666666
150,AI,40.0,0.5496688741721855
151,AI,45.0,0.5526315789473685
152,Bot,134.0,0.43790849673202614
153,Bot,38.0,0.44155844155844154
154,AI,60.0,0.5483870967741935
155,AI,21.0,0.5512820512820513
156,Bot,35.0,0.4394904458598726
157,AI,34.0,0.5506329113924051
158,AI,101.0,0.5534591194968553
159,AI,39.0,0.55625
160,AI,37.0,0.5590062111801242
161,AI,33.0,0.5617283950617284
162,AI,68.0,0.5644171779141104
163,AI,37.0,0.5670731707317073
164,AI,30.0,0.5696969696969697
165,AI,56.0,0.572289156626506
166,AI,19.0,0.5748502994011976
167,Bot,60.0,0.4166666666666667
168,Bot,41.0,0.42011834319526625
169,AI,31.0,0.5705882352941176
170,Bot,32.0,0.42105263157894735
171,Bot,36.0,0.42441860465116277
172,Bot,55.0,0.4277456647398844
173,Bot,87.0,0.43103448275862066
174,Bot,17.0,0.4342857142857143
175,Bot,28.0,0.4375
176,AI,147.0,0.5536723163841808
177,Bot,70.0,0.43820224719101125
178,Bot,31.0,0.441340782122905
179,Bot,98.0,0.4444444444444444
180,AI,45.0,0.5469613259668509
181,AI,13.0,0.5494505494505495
182,AI,156.0,0.5519125683060109
183,AI,19.0,0.5543478260869565
184,Bot,69.0,0.43783783783783786
185,AI,24.0,0.553763440860215
186,Bot,90.0,0.4385026737967914
187,Bot,51.0,0.44148936170212766
188,AI,75.0,0.5502645502645502
189,AI,97.0,0.5526315789473685
190,AI,59.0,0.5549738219895288
191,AI,29.0,0.5572916666666666
192,AI,25.0,0.5595854922279793
193,AI,52.0,0.5618556701030928
194,Bot,33.0,0.4307692307692308
195,Bot,28.0,0.4336734693877551
196,AI,72.0,0.5583756345177665
197,Bot,58.0,0.43434343434343436
198,AI,35.0,0.5577889447236181
199,Bot,115.0,0.435
200,Bot,55.0,0.43781094527363185
201,Bot,16.0,0.4405940594059406
202,Bot,124.0,0.4433497536945813
203,AI,16.0,0.5490196078431373
204,,,
205,AI,24.0,0.5485436893203883
206,AI,88.0,0.5507246376811594
207,AI,15.0,0.5528846153846154
208,Bot,30.0,0.4354066985645933
